,GeneID,Function,OrganismID
0,MBA3018028.1,hmlA,B13-G4_sp013792055
1,FP811_07765,hmlA,B13-G4_sp013792055
2,MBA3018029.1,hmlA,B13-G4_sp013792055
3,FP811_07770,hmlA,B13-G4_sp013792055
4,MBA3018030.1,hmlA,B13-G4_sp013792055
5,FP811_07775,hmlA,B13-G4_sp013792055
6,MBA3018031.1,hmlA,B13-G4_sp013792055
7,FP811_07780,hmlA,B13-G4_sp013792055
8,MBA3018032.1,hmlB,B13-G4_sp013792055
9,FP811_07785,hmlB,B13-G4_sp013792055
10,MBA3018033.1,,B13-G4_sp013792055
11,FP811_07790,,B13-G4_sp013792055
12,MBA3018034.1,,B13-G4_sp013792055
13,FP811_07795,,B13-G4_sp013792055
14,MBA3018035.1,omb,B13-G4_sp013792055
15,MBA3018036.1,,B13-G4_sp013792055
16,SH3,,B13-G4_sp013792055
17,MBA3018037.1,omcX,B13-G4_sp013792055
18,MBA3018038.1,omcX1,B13-G4_sp013792055
19,RLC24919.1,hmlB,B13-G4_sp003647525
20,"DRH21_04770,",hmlB,B13-G4_sp003647525
21,RLC24918.1,hmlB,B13-G4_sp003647525
22,DRH21_04765,hmlB,B13-G4_sp003647525
23,RLC24917.1,hmlB,B13-G4_sp003647525
24,DRH21_04760,hmlB,B13-G4_sp003647525
25,RLC24916.1,hmlB,B13-G4_sp003647525
26,DRH21_04755,hmlB,B13-G4_sp003647525
27,RLC24915.1,,B13-G4_sp003647525
28,DRH21_04750,,B13-G4_sp003647525
29,RLC24914.1,,B13-G4_sp003647525
30,DRH21_04745,,B13-G4_sp003647525
31,RLC24913.1,,B13-G4_sp003647525
32,"DRH21_04740,",omb,B13-G4_sp003647525
33,MBC2718706.1,hmlA,B13-G4_sp014237365b
34,HGJ96_03770,hmlA,B13-G4_sp014237365b
35,MBC2718705.1,hmlA,B13-G4_sp014237365b
36,HGJ96_03765,hmlB,B13-G4_sp014237365b
37,MBC2718704.1,hmlB,B13-G4_sp014237365b
38,MBC2718703.1,,B13-G4_sp014237365b
39,HGJ96_03755,,B13-G4_sp014237365b
40,MBC2718702.1,,B13-G4_sp014237365b
41,MBC2718701.1,,B13-G4_sp014237365b
42,DUF799,,B13-G4_sp014237365b
43,MBC2718700.1,,B13-G4_sp014237365b
44,HGJ96_03740,,B13-G4_sp014237365b
45,MBC2718699.1,omb,B13-G4_sp014237365b
46,MBC2718698.1,,B13-G4_sp014237365b
47,SH3,,B13-G4_sp014237365b
48,MBC2694396.1,hmlA,B13-G4_sp014237365a
49,HF982_03785,hmlA,B13-G4_sp014237365a
50,MBC2694395.1,hmlA,B13-G4_sp014237365a
51,HF982_03780,hmlB,B13-G4_sp014237365a
52,MBC2694394.1,hmlB,B13-G4_sp014237365a
53,MBC2694393.1,hmlB,B13-G4_sp014237365a
54,HF982_03770,hmlB,B13-G4_sp014237365a
55,MBC2694392.1,hmlB,B13-G4_sp014237365a
56,HF982_03765,,B13-G4_sp014237365a
57,MBC2694391.1,,B13-G4_sp014237365a
58,DUF799,,B13-G4_sp014237365a
59,MBC2694390.1,,B13-G4_sp014237365a
60,HF982_03755,,B13-G4_sp014237365a
61,MBC2694389.1,ombseep1a,B13-G4_sp014237365a
62,MBC2694388.1,,B13-G4_sp014237365a
63,SH3,,B13-G4_sp014237365a
64,EOKBJDCF_00449,hmlA,Seep-SRB1a_sp._SM14434BFWG172
65,EOKBJDCF_00450,hmlB,Seep-SRB1a_sp._SM14434BFWG172
66,EOKBJDCF_00451,,Seep-SRB1a_sp._SM14434BFWG172
67,EOKBJDCF_00452,,Seep-SRB1a_sp._SM14434BFWG172
68,EOKBJDCF_00453,,Seep-SRB1a_sp._SM14434BFWG172
69,EOKBJDCF_00454,,Seep-SRB1a_sp._SM14434BFWG172
70,EOKBJDCF_00455,omb,Seep-SRB1a_sp._SM14434BFWG172
71,EOKBJDCF_00456,,Seep-SRB1a_sp._SM14434BFWG172
72,EOKBJDCF_00457,,Seep-SRB1a_sp._SM14434BFWG172
73,EOKBJDCF_00458,omcX,Seep-SRB1a_sp._SM14434BFWG172
74,EOKBJDCF_00459,omcX,Seep-SRB1a_sp._SM14434BFWG172
75,coded,,Seep-SRB1a_sp._SM14434BFWG172
76,Ga0402054_bin3_1859,hmlA,Seep-SRB1a_sp._CR9063A
77,Ga0402054_bin3_1858,hmlB,Seep-SRB1a_sp._CR9063A
78,Ga0402054_bin3_1857,,Seep-SRB1a_sp._CR9063A
79,Ga0402054_bin3_1856,,Seep-SRB1a_sp._CR9063A
80,Ga0402054_bin3_1855,,Seep-SRB1a_sp._CR9063A
81,Ga0402054_bin3_1854,,Seep-SRB1a_sp._CR9063A
82,Ga0402054_bin3_1853,omb,Seep-SRB1a_sp._CR9063A
83,Ga0402054_bin3_1852,,Seep-SRB1a_sp._CR9063A
84,Ga0402054_bin3_1851,,Seep-SRB1a_sp._CR9063A
85,Ga0402054_bin3_1850,omcX,Seep-SRB1a_sp._CR9063A
86,Ga0402054_bin3_1849,,Seep-SRB1a_sp._CR9063A
87,Ga0402080_bin2_581,hmlA,Seep-SRB1a_SM7059A
88,Ga0402080_bin2_582,hmlB,Seep-SRB1a_SM7059A
89,Ga0402080_bin2_583,,Seep-SRB1a_SM7059A
90,Ga0402080_bin2_584,,Seep-SRB1a_SM7059A
91,Ga0402080_bin2_585,cyt c,Seep-SRB1a_SM7059A
92,Ga0402080_bin2_586,,Seep-SRB1a_SM7059A
93,Ga0402080_bin2_587,,Seep-SRB1a_SM7059A
94,Ga0402080_bin2_588,,Seep-SRB1a_SM7059A
95,Ga0402080_bin2_589,omb,Seep-SRB1a_SM7059A
96,Ga0402080_bin2_590,,Seep-SRB1a_SM7059A
97,Ga0402080_bin2_591,,Seep-SRB1a_SM7059A
98,MBT9438156.1,,Seep-SRB1a_sp._S7142MS3
99,MBT9438159.1,,Seep-SRB1a_sp._S7142MS3
100,MBT9438160.1,,Seep-SRB1a_sp._S7142MS3
101,MBW1745010.1,,Seep-SRB1a_sp._Meg22_46_Bin_236
102,MBW1745009.1,,Seep-SRB1a_sp._Meg22_46_Bin_236
103,MBW1745008.1,,Seep-SRB1a_sp._Meg22_46_Bin_236
104,MBW1745007.1,,Seep-SRB1a_sp._Meg22_46_Bin_236
105,MBW1745006.1,cyt c,Seep-SRB1a_sp._Meg22_46_Bin_236
106,MBW1745005.1,,Seep-SRB1a_sp._Meg22_46_Bin_236
107,MBW2737294.1,,Seep-SRB1a_sp._AB_03_Bin_172
108,MBW2737295.1,hmlB,Seep-SRB1a_sp._AB_03_Bin_172
109,MBW2737296.1,,Seep-SRB1a_sp._AB_03_Bin_172
110,MBW2737297.1,,Seep-SRB1a_sp._AB_03_Bin_172
111,MBW2737298.1,cyt c,Seep-SRB1a_sp._AB_03_Bin_172
112,MBW2737299.1,,Seep-SRB1a_sp._AB_03_Bin_172
113,MBW2737300.1,,Seep-SRB1a_sp._AB_03_Bin_172
114,MBW2737301.1,,Seep-SRB1a_sp._AB_03_Bin_172
115,MBW2737302.1,omb,Seep-SRB1a_sp._AB_03_Bin_172
116,MBW2737303.1,b-propeller,Seep-SRB1a_sp._AB_03_Bin_172
117,OLHCEBFO_00965,extA,Desulfofervidaceae_sp._PB11946FWG155
118,OLHCEBFO_00966,extA,Desulfofervidaceae_sp._PB11946FWG155
119,OLHCEBFO_00967,extA,Desulfofervidaceae_sp._PB11946FWG155
